Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM2.5, time average hourly 0.5 x 0.625 (hourly)"
User Start Date:,2018-01-01T00:00:00Z
User End Date:,2025-01-31T23:59:59Z
User Bounding Box:,"90.1,23.5,90.8,24.1"
Data Bounding Box:,"90.625,23.5,90.625,24"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2018-01-01T00:00:00Z&endtime=2025-01-31T23:59:59Z&bbox=90.1,23.5,90.8,24.1&data=M2T1NXAER_5_12_4_TOTSMASS25%2CM2T1NXAER_5_12_4_TOTEXTTAU%2CM2T1NXAER_5_12_4_TOTCMASS25&dataKeyword=AOD&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2T1NXAER_5_12_4_TOTSMASS25
2018-01-08 23:30:00,1.54886903e-07
2018-01-09 00:30:00,1.55479579e-07
2018-01-09 01:30:00,1.54263324e-07
2018-01-09 02:30:00,1.50010047e-07
2018-01-09 03:30:00,1.47458914e-07
2018-01-09 04:30:00,1.42234841e-07
2018-01-09 05:30:00,1.19227056e-07
2018-01-09 06:30:00,1.28021951e-07
2018-01-09 07:30:00,1.24134474e-07
2018-01-09 08:30:00,1.22496129e-07
2018-01-09 09:30:00,1.22169366e-07
2018-01-09 10:30:00,1.21902063e-07
2018-01-09 11:30:00,1.21978535e-07
2018-01-09 12:30:00,1.21698156e-07
2018-01-09 13:30:00,1.21343957e-07
2018-01-09 14:30:00,1.21057818e-07
2018-01-09 15:30:00,1.21035553e-07
2018-01-09 16:30:00,1.21366451e-07
2018-01-09 17:30:00,1.21993571e-07
2018-01-09 18:30:00,1.22973516e-07
2018-01-09 19:30:00,1.24471205e-07
2018-01-09 20:30:00,1.26533385e-07
2018-01-09 21:30:00,1.29434818e-07
2018-01-09 22:30:00,1.33408665e-07
2018-01-09 23:30:00,1.38311814e-07
2018-01-10 00:30:00,1.4366701e-07
2018-01-10 01:30:00,1.47672381e-07
2018-01-10 02:30:00,1.45185369e-07
2018-01-10 03:30:00,1.38321178e-07
2018-01-10 04:30:00,1.33576334e-07
2018-01-10 05:30:00,1.23628716e-07
2018-01-10 06:30:00,1.42103523e-07
2018-01-10 07:30:00,1.40361607e-07
2018-01-10 08:30:00,1.4099986e-07
2018-01-10 09:30:00,1.26415556e-07
2018-01-10 10:30:00,1.29205017e-07
2018-01-10 11:30:00,1.33091601e-07
2018-01-10 12:30:00,1.37094275e-07
2018-01-10 13:30:00,1.41237803e-07
2018-01-10 14:30:00,1.45514856e-07
2018-01-10 15:30:00,1.49799678e-07
2018-01-10 16:30:00,1.54010701e-07
2018-01-10 17:30:00,1.58023152e-07
2018-01-10 18:30:00,1.61732288e-07
2018-01-10 19:30:00,1.65214602e-07
2018-01-10 20:30:00,1.68662674e-07
2018-01-10 21:30:00,1.72275264e-07
2018-01-10 22:30:00,1.75789622e-07
2018-01-10 23:30:00,1.78856489e-07
2018-01-11 00:30:00,1.8131124e-07
2018-01-11 01:30:00,1.81884977e-07
2018-01-11 02:30:00,1.76537231e-07
2018-01-11 03:30:00,2.42455964e-07
2018-01-11 04:30:00,2.27631977e-07
2018-01-11 05:30:00,2.15734822e-07
2018-01-11 06:30:00,1.9161476e-07
2018-01-11 07:30:00,1.84824531e-07
2018-01-11 08:30:00,1.81015558e-07
2018-01-11 09:30:00,1.79336531e-07
2018-01-11 10:30:00,1.78266349e-07
2018-01-11 11:30:00,1.78274251e-07
2018-01-11 12:30:00,1.78193549e-07
2018-01-11 13:30:00,1.78015595e-07
2018-01-11 14:30:00,1.77984689e-07
2018-01-11 15:30:00,1.78380497e-07
2018-01-11 16:30:00,1.79432019e-07
2018-01-11 17:30:00,1.80794579e-07
2018-01-11 18:30:00,1.81949811e-07
2018-01-11 19:30:00,1.82426765e-07
2018-01-11 20:30:00,1.81854063e-07
2018-01-11 21:30:00,1.80409082e-07
2018-01-11 22:30:00,1.78819692e-07
2018-01-11 23:30:00,1.77635884e-07
2018-01-12 00:30:00,1.76483313e-07
2018-01-12 01:30:00,1.75856081e-07
2018-01-12 02:30:00,1.70800586e-07
2018-01-12 03:30:00,1.58560763e-07
2018-01-12 04:30:00,1.47646832e-07
2018-01-12 05:30:00,1.38391763e-07
2018-01-12 06:30:00,1.59225494e-07
2018-01-12 07:30:00,1.55805331e-07
2018-01-12 08:30:00,1.54696337e-07
2018-01-12 09:30:00,1.39580192e-07
2018-01-12 10:30:00,1.41100918e-07
2018-01-12 11:30:00,1.44173946e-07
2018-01-12 12:30:00,1.47676453e-07
2018-01-12 13:30:00,1.51325112e-07
2018-01-12 14:30:00,1.55178589e-07
2018-01-12 15:30:00,1.59537685e-07
2018-01-12 16:30:00,1.64504925e-07
2018-01-12 17:30:00,1.6995577e-07
2018-01-12 18:30:00,1.75383735e-07
2018-01-12 19:30:00,1.8012423e-07
2018-01-12 20:30:00,1.83609382e-07
2018-01-12 21:30:00,1.85104547e-07
2018-01-12 22:30:00,1.84301938e-07
2018-01-12 23:30:00,1.81016668e-07
2018-01-13 00:30:00,1.76032335e-07
2018-01-13 01:30:00,1.70168409e-07
2018-01-13 02:30:00,1.62245604e-07
2018-01-13 03:30:00,1.28062258e-07
2018-01-13 04:30:00,1.13989113e-07
2018-01-13 05:30:00,1.06772811e-07
2018-01-13 06:30:00,1.0727672e-07
2018-01-13 07:30:00,1.03470953e-07
2018-01-13 08:30:00,1.01080058e-07
2018-01-13 09:30:00,1.01350712e-07
2018-01-13 10:30:00,1.0353857e-07
2018-01-13 11:30:00,1.06884358e-07
2018-01-13 12:30:00,1.10870077e-07
2018-01-13 13:30:00,1.14928707e-07
2018-01-13 14:30:00,1.18595466e-07
2018-01-13 15:30:00,1.21545538e-07
2018-01-13 16:30:00,1.23515041e-07
2018-01-13 17:30:00,1.24508054e-07
2018-01-13 18:30:00,1.24624235e-07
2018-01-13 19:30:00,1.23895759e-07
2018-01-13 20:30:00,1.22333294e-07
2018-01-13 21:30:00,1.19899147e-07
2018-01-13 22:30:00,1.16684193e-07
2018-01-13 23:30:00,1.09030546e-07
2018-01-14 00:30:00,9.79476972e-08
2018-01-14 01:30:00,9.08079993e-08
2018-01-14 02:30:00,8.57993974e-08
2018-01-14 03:30:00,1.76922231e-07
2018-01-14 04:30:00,1.70770954e-07
2018-01-14 05:30:00,1.59879783e-07
2018-01-14 06:30:00,1.77787994e-07
2018-01-14 07:30:00,1.66143339e-07
