date,pm2_5_mean,pm2_5_max,wind_speed_mean,wind_u_mean,wind_v_mean,temperature_mean,rh_mean,blh_mean,precip_sum,aod_extinction,merra2_surf_pm25_ugm3,aod_missing,pm25_lag7,season
10/10/2022,26.72083333,41.8,7.195833333,0.606969638,-4.669232396,27.63333333,83.91666667,400.4166667,5.8,0.12303865,9.191900323,0,14.825,Post_Monsoon
10/11/2022,19.2625,28.4,8.995833333,-3.189922743,-8.191328212,27.7625,83.125,514.7916667,5.5,0.128227064,11.46907181,0,20.45833333,Post_Monsoon
10/12/2022,20.32083333,30.2,5.979166667,0.076600766,-4.362928639,26.37083333,88.95833333,391.6666667,9.8,0.107303439,9.842655722,0,22.77083333,Post_Monsoon
10/13/2022,30.1375,56.1,5.2125,0.12355228,-0.540154955,26.44583333,87.29166667,324.5833333,5.7,0.130009031,10.06505423,0,21.3125,Post_Monsoon
10/14/2022,43.6625,89.4,3.658333333,-0.706536386,1.348445551,27.30416667,85.45833333,376.875,3.8,0.325715958,22.53371495,0,37.25,Post_Monsoon
10/15/2022,57.23333333,95.5,7.15,0.437406378,6.852107004,27.89583333,77.04166667,429.1666667,0,0.34351712,30.55532628,0,59.99166667,Post_Monsoon
10/16/2022,43.8125,54.1,9.9875,-2.801203376,9.414714585,27.17916667,72.25,331.6666667,0,0.248393546,29.43453113,0,39.1625,Post_Monsoon
10/17/2022,47.75416667,67.8,5.7875,-4.007103599,2.994049037,27.00416667,77.58333333,332.2916667,0,0.324770499,31.89362223,0,26.72083333,Post_Monsoon
10/18/2022,56.04166667,95.2,5.05,2.257734452,1.483652252,27.20416667,81.66666667,315.8333333,3.8,0.389103503,36.04072484,0,19.2625,Post_Monsoon
10/19/2022,48.26666667,70.8,7.708333333,1.532851668,7.247580697,27.16666667,75.04166667,400.4166667,0,0.3811851,34.96408423,0,20.32083333,Post_Monsoon
10/20/2022,53.04166667,75.9,8.791666667,-0.388241019,8.560769386,26.8625,70.08333333,396.6666667,0.1,0.28873887,30.40225023,0,30.1375,Post_Monsoon
10/21/2022,37.41666667,45.6,8.7125,-0.527742567,8.194835156,26.89583333,72.58333333,372.7083333,0,0.236367285,26.33249033,0,43.6625,Post_Monsoon
10/22/2022,33.82083333,40.7,9.108333333,1.893123856,8.211343535,27.46666667,73.25,330.8333333,0,0.153271044,18.03674095,0,57.23333333,Post_Monsoon
10/23/2022,43.44166667,63.8,6.666666667,3.400710011,3.685467916,26.4375,82,181.875,4.4,0.114784546,16.51326124,0,43.8125,Post_Monsoon
10/24/2022,20.325,53.1,21.65416667,13.79103421,15.62044265,23.39583333,91.58333333,593.3333333,130.7,0.113232692,8.37260115,0,47.75416667,Post_Monsoon
10/25/2022,20.85833333,59.8,12.41666667,-7.338460824,-5.050330475,23.62083333,81.625,586.0416667,6.3,0.165357092,12.59814318,0,56.04166667,Post_Monsoon
10/26/2022,58.75,113.6,5.458333333,2.115975535,-0.916705892,24.4625,79.04166667,319.1666667,0,0.310985518,27.55978215,0,48.26666667,Post_Monsoon
10/27/2022,90.4875,132.7,6.520833333,1.595165367,5.504962119,24.87916667,77.625,358.3333333,0.1,0.397188356,36.90492934,0,53.04166667,Post_Monsoon
10/28/2022,68.30833333,86.4,7.3,-2.420306263,6.698093122,23.87916667,75,384.5833333,0,0.311513835,42.57246175,0,37.41666667,Post_Monsoon
10/29/2022,62.80416667,105.7,5.916666667,-2.195886265,3.988256975,24.49583333,76.16666667,338.75,0,0.21776371,30.68769408,0,33.82083333,Post_Monsoon
10/30/2022,65.37083333,100.1,5.604166667,-2.077887198,3.253312556,25.55833333,74.70833333,358.125,0,0.268166411,27.19850913,0,43.44166667,Post_Monsoon
10/31/2022,64.87083333,86.1,5.591666667,-0.830866453,5.013262674,26.50833333,78.875,350.8333333,0,0.250265179,25.0856182,0,20.325,Post_Monsoon
11/1/2022,52.11666667,73.1,6.925,-1.814142736,5.822564935,26.88333333,75.41666667,323.125,0,0.188796375,22.35232834,0,20.85833333,Post_Monsoon
11/2/2022,44.9375,59.5,7.1125,-4.510544764,5.128519792,26.19583333,69.83333333,387.2916667,0,0.291844369,25.55502051,0,58.75,Post_Monsoon
11/3/2022,63.625,82.4,6.504166667,-4.971172749,3.944541543,24.8125,72.29166667,401.25,0,0.384960812,36.96956953,0,90.4875,Post_Monsoon
11/4/2022,70.11666667,106.6,5.2875,-2.247600841,3.433762806,23.97916667,72.33333333,409.1666667,0,0.355617847,39.86409568,0,68.30833333,Post_Monsoon
11/5/2022,78.625,129.5,6.608333333,1.230547209,2.199279023,24.67916667,73.125,309.375,0,0.335952148,40.32463136,0,62.80416667,Post_Monsoon
11/6/2022,102.0625,154.1,5.870833333,-2.23724447,-0.925617194,24.775,76.95833333,326.0416667,0.1,0.293054926,37.57201748,0,65.37083333,Post_Monsoon
